Tag,Heading,HeadingLength,Level
H1,Brands at the heart of innovation,33,1
H2,Personal Care,13,2
H2,Professional Care,17,2
H2,Dairy,5,2
H2,Food & Snacks,13,2
H2,Beverages,9,2
H2,Personal Care,13,2
H2,Professional Care,17,2
H2,Dairy,5,2
H2,Food & Snacks,13,2
H2,Beverages,9,2
H2,Aspiring to be a CavinKarean?,29,2
H2,Where work is fun & fun is work!,32,2
H2,Research Led Innovation,23,2
H2,Cavin Cares,11,2
H3,Making world a better place,27,3
H4,ChinniKrishnan Innovation Awards,32,4
H4,Trends,6,4
H2,CavinKare In The News,21,2
H3,Hair colour brand Indica ropes in Akshay Kumar and Ileana D'Cruz as brand ambassadors,85,3
H2,Corporate Office,16,2
H2,Registered Office,17,2
H2,Contact Us,10,2
H3,Thank You for contacting us!,28,3
